Serial No,Song Name,Artist Name,Camelot,BPM,Duration,Popularity,energy,Danceability,Happiness,Accousticness,Instrumentalness,Liveness,Speechiness,Loudness,Category,Language
170,Say You Won't Let Go - Piano Lullaby Version,Sleepyheadz,6B,77,4:44,31,2,50,11,99,90,11,4,-33,Instrumental,
171,Winter Nights,Calmly,4A,72,2:22,75,0,10,4,97,62,11,4,-42,Instrumental,
172,Nightfall,Calmly,9B,128,2:22,70,0,17,4,98,71,10,5,-41,Instrumental,
173,Soft Slumber,Calmly,6A,69,2:26,72,0,15,4,99,67,11,5,-41,Instrumental,
174,Rut Badle,Tapas Relia,5B,142,6:17,25,72,62,28,56,0,12,14,-10,Vocal(Hindi),
175,Ab Mori Baat - Live,The Anirudh Varma Collective,5B,90,7:12,28,41,32,16,96,27,43,4,-12,Vocal(Hindi),
176,Hamri Atariya,Rita Dev,7A,74,6:47,17,56,28,44,94,0,41,5,-8,Vocal(Hindi),
177,Ekla Chalo Re,Amjad Ali Khan,11A,166,6:12,45,24,60,14,67,77,11,4,-15,Vocal(Bengali),
178,Raag Jhinjhoti,Shujaat Khan,10B,113,3:14,29,83,29,84,84,93,36,3,-7,Vocal(Hindi),
179,Shri Banke Bihari Teri Aarti Gaaun,Maanya Arora,12B,148,4:47,26,41,54,23,58,0,27,3,-9,Vocal(Hindi),
180,Na Ja Balam Pardesawa: Thumri In Raag Bhairavi,Shubha Mudgal,12A,108,5:30,14,54,35,34,39,0,13,4,-11,Vocal(Hindi),
181,Achyutam Keshavam,Anup Jalota,10B ,86,4:53,48,21,59,45,84,0,14,3,-13,Vocal(Sanskrit),
182,Raag Hansaddhwani - Flute,Hariprasad Chaurasia,12B,110,20:35,17,20,42,49,98,86,22,5,-27,Instrumental,
183,Raga Kirwani - Alap Gat - Teental,Iqubal Huein,5A,151,10:14,24,60,45,36,65,50,28,5,-11,Vocal(Sanskrit),
184,Jaagun Main Saari Raina / Maru Bihaag - Live,Prabha Atre,7B,128,10:03,17,72,46,56,86,14,22,7,-7,Vocal(Hindi),
185,Prabhu Kar Sab Dukh Door Hamare,"Bhimsen Joshi, Umakant & Ramakant Gundecha",6B,83,7:39,15,38,39,45,72,0,38,3,-12,Vocal(Hindi),
186,Krishna Pranat Pal Prabhu,Jagjit Singh,5A,177,7:28,17,52,41,53,82,0,4,3,-11,Vocal(Hindi),
187,Tere Mann Mein Ram,Anup Jalota,1A,90,6:12,21,77,61,80,16,0,14,6,-7,Vocal(Hindi),
188,Shiva Shankara,Purbayan Chatterjee,4A,100,10:18,28,83,67,77,55,33,10,9,-7,Vocal(Hindi),
189,Namami Shamishan,Religious India,4B,134,5:34,66,32,83,35,74,0,7,3,-12,Vocal(Sanskrit),
190,Parvati Boli Shankar Se,Hansraj Raghuwanshi,1B,82,7:19,66,54,61,58,39,0,7,6,-9,Vocal(Hindi),
191,Mere Sarkaar,Jaya Kishori,7B,174,3:44,48,68,56,44,58,0,11,13,-6,Vocal(Hindi),
192,Prem Kab Samjhogey,Ishita Vishwakarma,8B,114,4:11,38,26,63,23,85,0,9,3,-15,Vocal(Hindi),
193,O Kanha Ab Toh Murli,Chetna,8B,76,4:06,62,56,45,80,64,0,4,11,-6,Vocal(Hindi),
194,Tum Prem Ho - Reprise,Mohit Lalwani,12B,110,4:49,69,45,70,30,87,0,7,3,-12,Vocal(Hindi),
195,Nanhikali,Anindita Mukherjee,5B,140,4:13,14,14,31,33,99,0,12,3,-10,Vocal(Hindi),
196,Rajasthani Folk Song,Sultan Khan,1B,87,8:01,20,3,45,24,89,0,78,4,-30,Vocal(Rajasthani),
197,Olanjali Kuruvi,P. Jayachandran,7B,120,4:48,47,39,74,52,79,0,14,4,-12,Vocal(Malayalam),
198,Kaliya,Paban Das Baul,5B,107,3:16,6,49,69,73,19,0,14,5,-13,Vocal(Bengali),
199,Shankar: Dhun,Ravi Shankar,11B,144,6:29,23,24,43,52,79,39,35,4,-19,Instrumental,
200,Dhoop,Shreya Ghoshal,12A,132,3:36,40,54,55,25,24,0,21,3,-6,Vocal(Bengali),
201,Aankhe Rati Chanothadi,Asha Bhosle,7B,81,6:00,0,67,64,88,56,0,13,4,-6,Vocal(Rajasthani),
202,Dhyayen Nityam Mahesham,Pandit Jasraj,8B,163,5:09,29,10,25,15,97,0,7,4,-14,Vocal(Sanskrit),
203,Agun Pani,Purna Das Baul,6B,172,4:39,0,59,42,79,84,0,8,5,-12,Vocal(Bengali),
204,Akashjure Shuninu,Pijushkanti Sarkar,2B,107,6:10,0,41,50,62,75,1,9,4,-14,Vocal(Bengali),
205,Neelam,Sandhya Sanjana,9B,123,3:34,0,69,73,81,12,0,32,6,-5,Vocal(Bengali),
206,Gopon Prem (Secret Love),Paban Das Baul,5B,159,5:00,1,35,55,74,52,0,8,12,-14,Vocal(Bengali),
207,Laal Ishq,Arijit Singh,5B,106,6:27,64,67,51,45,3,0,31,3,-6,Vocal(Hindi),
208,Moko Kahan,Vidhya Gopal,4B,141,7:07,11,39,28,24,81,1,15,3,-7,Vocal(Rajasthani),
209,Ae Re Sakhi,Namita Chaudhary,10B,146,3:42,47,30,59,29,91,0,9,5,-11,Vocal(Hindi),
